Lyrics,Direct Translation,Poetic Translation
"Ach Elslein, liebes Elselein mein,",LINK,"Oh, Elslein, dearest Elselein mine,"
Wie gern wär ich bei dir!,"http://www1.cpdl.org/wiki/index.php/Ach_Elslein,_liebes_Elselein_mein_(Ludwig_Senfl)",With you I want to be!
So sein zwei tiefe Wasser,See translation at Choral Public Domain Library.,But there are two deep waters
"Wohl zwischen dir und mir,",,"Dividing you and me,"
So sein zwei tiefe Wasser,,But there are two deep waters
Wohl zwischen dir und mir,,Dividing you and me.
,,
"Das bringt mir grosse Schmerzen,",,"I suffer with you yonder,"
Herzallerliebster Gsell!,,"My heart's most faithful friend,"
Und ich von ganzem Herzen,,And in my heart I ponder
"Halt's für gross Ungefäll,",,"The luckless lives we spend,"
Und ich von ganzem Herzen,,And in my heart I ponder
Halt's für groß Ungefäll,,The luckless lives we spend.
,,
"Hoff, Zeit wird es wohl enden,",,I hope time ends our sorrow;
"Hoff, Glück wird kommen drein,",,I hope our luck is fine
"Sich in all's Güts verwenden,",,"And all is good tomorrow,"
"Herzliebstes Elselein,",,"My heart's dear Elselein,"
"Sich in all's Güts verwenden,",,"And all is good tomorrow,"
Herzliebstes Elselein.,,My heart's dear Elselein.
,,
Ludwig Senfl,,Carol Anne Perry Lagemann
